order_id,customer_id,order_date,channel
O00001,C0021,2024-01-15,Web
O00002,C0016,2024-01-15,Web
O00003,C0022,2024-01-28,App
O00004,C0023,2024-01-09,App
O00005,C0028,2024-02-21,Web
O00006,C0024,2024-02-16,Web
O00007,C0016,2024-02-18,Web
O00008,C0015,2024-01-12,App
O00009,C0008,2024-01-01,Web
O00010,C0018,2024-02-24,Web
O00011,C0005,2024-01-18,Web
O00012,C0028,2024-02-09,App
O00013,C0026,2024-02-24,Web
O00014,C0004,2024-01-03,App
O00015,C0024,2024-01-01,App
O00016,C0004,2024-01-01,App
O00017,C0022,2024-01-10,App
O00018,C0003,2024-01-04,App
O00019,C0015,2024-02-19,Web
O00020,C0020,2024-02-06,App
O00021,C0022,2024-02-28,App
O00022,C0013,2024-02-18,Web
O00023,C0028,2024-02-27,App
O00024,C0024,2024-01-15,Web
O00025,C0007,2024-01-18,App
O00026,C0021,2024-02-20,App
O00027,C0022,2024-01-15,App
O00028,C0011,2024-01-04,Offline
O00029,C0023,2024-02-10,App
O00030,C0027,2024-02-18,App
O00031,C0025,2024-02-28,App
O00032,C0023,2024-02-25,Web
O00033,C0020,2024-01-08,App
O00034,C0009,2024-02-16,App
O00035,C0024,2024-02-20,Web
O00036,C0011,2024-02-11,Web
O00037,C0016,2024-02-19,App
O00038,C0010,2024-02-20,Web
O00039,C0010,2024-01-27,Web
O00040,C0005,2024-01-03,Web
O00041,C0029,2024-01-28,Web
O00042,C0005,2024-01-13,Web
O00043,C0003,2024-01-07,App
O00044,C0029,2024-01-08,Web
O00045,C0017,2024-02-11,App
O00046,C0014,2024-01-31,App
O00047,C0023,2024-02-02,Web
O00048,C0012,2024-02-14,Web
O00049,C0004,2024-02-02,App
O00050,C0022,2024-02-07,Web
O00051,C0006,2024-01-06,Web
O00052,C0017,2024-02-21,Offline
O00053,C0029,2024-01-27,Offline
O00054,C0029,2024-01-10,App
O00055,C0011,2024-02-18,Web
O00056,C0024,2024-02-14,App
O00057,C0019,2024-01-04,App
O00058,C0015,2024-01-12,Web
O00059,C0005,2024-01-01,App
O00060,C0012,2024-01-17,Web
O00061,C0020,2024-01-06,Web
O00062,C0030,2024-02-12,App
O00063,C0001,2024-02-01,Web
O00064,C0022,2024-02-28,Web
O00065,C0026,2024-02-14,App
O00066,C0029,2024-02-06,Offline
O00067,C0013,2024-01-31,App
O00068,C0004,2024-01-04,App
O00069,C0009,2024-01-05,Offline
O00070,C0026,2024-02-06,Web
O00071,C0027,2024-01-01,Web
O00072,C0020,2024-01-03,Web
O00073,C0004,2024-01-14,Web
O00074,C0004,2024-02-23,App
O00075,C0015,2024-01-28,Web
O00076,C0018,2024-02-12,App
O00077,C0001,2024-01-25,Web
O00078,C0021,2024-01-11,Web
O00079,C0017,2024-01-23,Offline
O00080,C0001,2024-01-06,Web
O00081,C0003,2024-02-16,Web
O00082,C0014,2024-01-12,Web
O00083,C0022,2024-01-23,App
O00084,C0025,2024-02-28,App
O00085,C0013,2024-02-05,App
O00086,C0009,2024-01-28,Web
O00087,C0030,2024-02-02,Web
O00088,C0014,2024-02-17,App
O00089,C0010,2024-01-16,App
O00090,C0014,2024-02-08,App
O00091,C0001,2024-02-22,App
O00092,C0010,2024-02-04,App
O00093,C0016,2024-01-27,Web
O00094,C0028,2024-01-09,Web
O00095,C0023,2024-01-15,App
O00096,C0024,2024-02-26,Web
O00097,C0017,2024-02-02,App
O00098,C0004,2024-01-19,App
O00099,C0012,2024-01-26,App
O00100,C0030,2024-02-04,App
O00101,C0002,2024-02-02,App
O00102,C0027,2024-02-11,Offline
O00103,C0021,2024-01-16,App
O00104,C0009,2024-02-08,App
O00105,C0024,2024-01-27,Web
O00106,C0026,2024-02-26,App
O00107,C0002,2024-01-10,App
O00108,C0004,2024-01-09,Web
O00109,C0020,2024-01-28,Web
O00110,C0030,2024-01-31,Offline
O00111,C0001,2024-02-11,App
O00112,C0020,2024-01-25,Web
O00113,C0005,2024-02-24,Web
O00114,C0020,2024-01-29,Web
O00115,C0019,2024-01-08,Web
O00116,C0003,2024-01-08,Offline
O00117,C0021,2024-02-28,Web
O00118,C0027,2024-01-09,Web
O00119,C0026,2024-02-26,App
O00120,C0001,2024-01-17,Web
